"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)",
"1400000US17031260900","Census Tract 2609, Cook County, Illinois","24714","19285",
"1400000US17031261000","Census Tract 2610, Cook County, Illinois","33350","9258",
"1400000US17031270500","Census Tract 2705, Cook County, Illinois","15571","3698",
"1400000US17031271200","Census Tract 2712, Cook County, Illinois","32159","9310",
"1400000US17031271300","Census Tract 2713, Cook County, Illinois","25345","7956",
"1400000US17031271400","Census Tract 2714, Cook County, Illinois","24050","7186",
"1400000US17031271500","Census Tract 2715, Cook County, Illinois","37109","10622",
"1400000US17031271800","Census Tract 2718, Cook County, Illinois","18952","4036",
"1400000US17031280100","Census Tract 2801, Cook County, Illinois","136389","16064",
"1400000US17031280400","Census Tract 2804, Cook County, Illinois","39544","18225",
"1400000US17031280800","Census Tract 2808, Cook County, Illinois","18077","8211",
"1400000US17031280900","Census Tract 2809, Cook County, Illinois","17569","4166",
"1400000US17031281900","Census Tract 2819, Cook County, Illinois","109104","4047",
"1400000US17031282700","Census Tract 2827, Cook County, Illinois","74460","17355",
"1400000US17031282800","Census Tract 2828, Cook County, Illinois","58203","12443",
"1400000US17031283100","Census Tract 2831, Cook County, Illinois","38705","11224",
"1400000US17031283200","Census Tract 2832, Cook County, Illinois","73558","9244",
"1400000US17031283800","Census Tract 2838, Cook County, Illinois","76926","10431",
"1400000US17031290900","Census Tract 2909, Cook County, Illinois","25542","7226",
"1400000US17031291200","Census Tract 2912, Cook County, Illinois","22153","6370",
"1400000US17031291600","Census Tract 2916, Cook County, Illinois","53750","10063",
"1400000US17031292200","Census Tract 2922, Cook County, Illinois","34861","7388",
"1400000US17031292400","Census Tract 2924, Cook County, Illinois","32589","12374",
"1400000US17031292500","Census Tract 2925, Cook County, Illinois","40938","6941",
"1400000US17031300500","Census Tract 3005, Cook County, Illinois","40083","6394",
"1400000US17031300600","Census Tract 3006, Cook County, Illinois","43594","10708",
"1400000US17031300700","Census Tract 3007, Cook County, Illinois","40789","3285",
"1400000US17031300800","Census Tract 3008, Cook County, Illinois","30367","5148",
"1400000US17031300900","Census Tract 3009, Cook County, Illinois","29098","4718",
"1400000US17031301100","Census Tract 3011, Cook County, Illinois","31207","5819",
